id,poi_id,code,name_cn,name_en,category,city,district,duration_hours,price_min,price_max,currency,tags,suitable_for,description,description_cn,description_en,recommended_reason,highlights,target_users,image_placeholder,image_notes,image_source,image_alt,image_url,image_path,images,address,opening_hours,reservation_info,notes,internal_remark,status
POI001,POI001,POI001,甄选套餐,,体检,杭州,,4.0,8299.0,8999.0,CNY,高客单价体检;全面检查;可作为医旅核心;体检;医疗节奏;通用;半日;甄选;25,医疗体检核心,,PDF为“甄选套餐”团体优惠定价；含胶囊胃镜、脑区评估等高阶项目,,,,,POI image placeholder,,,,,,[],杭州,,,PDF为“甄选套餐”团体优惠定价;含胶囊胃镜;脑区评估等高阶项目;体检方案书 p24;区间价;多规格;男8299;女未婚8499;女已婚8999;元;人;胶囊胃镜,,active
POI002,POI002,POI002,菁选套餐,,体检,杭州,,8.0,2799.0,3050.0,CNY,入门全面体检;半日-1日轻医旅;体检;医疗节奏;通用;1日;菁英;菁选;全面检查;25,医疗体检核心,,PDF套餐名为“菁英套餐”，源点位表写“菁选套餐”，建议统一命名,,,,,POI image placeholder,,,,,,[],杭州,,,PDF套餐名为“菁英套餐”;源点位表写“菁选套餐”;建议统一命名;体检方案书 p11;区间价;多规格;男2799;女未婚2799;女已婚3050;元;人;25,,active
POI003,POI003,POI003,尊选套餐,,体检,杭州,,8.0,6199.0,6699.0,CNY,中高端全面体检;可搭配1-2日康养;体检;医疗节奏;通用;1日;尊享;尊选;全面检查;25,医疗体检核心,,PDF套餐名为“尊享套餐”，源点位表写“尊选套餐”，建议统一命名,,,,,POI image placeholder,,,,,,[],杭州,,,PDF套餐名为“尊享套餐”;源点位表写“尊选套餐”;建议统一命名;体检方案书 p17;区间价;多规格;男6199;女未婚6299;女已婚6699;元;人;25,,active
POI004,POI004,POI004,邵逸夫B2,,体检,杭州,,16.0,12450.0,16185.0,CNY,专项医疗;需确认专科与报价;体检;医疗节奏;通用;2日;医疗级别待确认;单项;25,专项医疗,,仅有点位与2日时长；需补医院专科项目报价,,,,,POI image placeholder,,,,,,[],杭州,,,仅有点位与2日时长;需补医院专科项目报价;源点位表;部分补充;成本12450;元;人;疗程;售价16185;25,,active
POI005,POI005,POI005,西湖环湖慢享（电瓶车+游船）,,旅游,杭州,,1.0,2.0,798.0,CNY,西湖秘境;自然疗愈;低强度;自然;休闲;通用;0-1小时;25,西湖秘境;宋韵;体检后轻游,,西湖电瓶车整圈普通40/仿古80；摇橹船按船计价,,,,西湖秘境;宋韵;体检后轻游,POI image placeholder,主图,,,,assets/poi_images/poi005_poi_image_1783041942.png,"[{""id"": ""IMG-7FA24562"", ""url"": ""assets/poi_images/poi005_poi_image_1783041942.png"", ""name"": ""西湖环享慢游.png"", ""isMain"": true, ""uploadedAt"": ""2026-07-03 09:25:42""}]",杭州,,,西湖电瓶车整圈普通40;仿古80;摇橹船按船计价;康养文旅 p8;p12;区间价;多规格;电瓶车40;80;摇橹船598(2-4人);798(5-6人);元;人或元;船;25,,active
POI006,POI006,POI006,苏堤漫步,,旅游,杭州,,1.0,0.0,80.0,CNY,自然疗愈;适合体检后轻松安排;自然;休闲;通用;0-1小时;25,西湖秘境;东方本草,,漫步本身免费，相关门票/交通另计,,,,,POI image placeholder,,,,,,[],杭州,,,漫步本身免费;相关门票;交通另计;康养文旅 p3;p8;免费;0;可搭配雷峰塔45;人;电瓶车40-80;元;25,,active
POI007,POI007,POI007,龙坞茶村漫步,,旅游,杭州,,1.0,0.0,288.0,CNY,茶文化;自然;低强度;休闲;通用;0-1小时;25,龙井茶韵;筋骨调养,,漫步本身免费；深度茶体验可加购,,,,,POI image placeholder,,,,,,[],杭州,,,漫步本身免费;深度茶体验可加购;康养文旅 p16-p18;免费;0;可搭配采茶;炒茶;品茶288;人;品茗150;元;25,,active
POI008,POI008,POI008,良渚古城遗址公园,,旅游,杭州,,1.5,60.0,78.0,CNY,文化遗产;半日游;自然;休闲;通用;1-2小时;25,良渚文化线,,未在价格PDF中出现,,,,,POI image placeholder,,,,,,[],杭州,,,未在价格PDF中出现;源点位表;已补充;成本60;元;人;售价78;25,,active
POI009,POI009,POI009,人文历史漫步（胡雪岩、河坊街）,,旅游,杭州,,1.5,20.0,70.0,CNY,中医养生;城市人文;半日游;人文;休闲;通用;1-2小时;25,东方本草,,河坊街/大井巷/鼓楼漫步本身免费,,,,,POI image placeholder,,,,,,[],杭州,,,河坊街;大井巷;鼓楼漫步本身免费;康养文旅 p2;区间价;多规格;胡雪岩故居20;人;朱炳仁拓铜画50;元;25,,active
POI010,POI010,POI010,禅寺深度巡礼,,旅游,杭州,,2.0,30.0,1000.0,CNY,禅茶;正念;安静疗愈;人文;适中;通用;1-2小时;25,禅茶一味;心灵疗愈,,根据是否加入禅修静坐指导计价,,,,,POI image placeholder,,,,,,[],杭州,,,根据是否加入禅修静坐指导计价;康养文旅 p6;区间价;多规格;径山寺门票30;人;禅修指导1000;团;元;人或元;25,,active
POI011,POI011,POI011,中国丝绸博物馆,,旅游,杭州,,2.5,0.0,0.0,CNY,人文;轻量室内;雨天备选;适中;通用;2-4小时;25,人文室内备选,,未在价格PDF中出现,,,,,POI image placeholder,,,,,,[],杭州,,,未在价格PDF中出现;源点位表;免费;0元;元;人;25,,active
POI012,POI012,POI012,漫游运河,,旅游,杭州,,1.5,0.0,138.0,CNY,城市漫游;夜游;人文;休闲;通用;1-2小时;25,西湖秘境;运河夜游,,运河街区漫步免费；演出另计,,,,,POI image placeholder,,,,,,[],杭州,,,运河街区漫步免费;演出另计;康养文旅 p9;免费;小河直街0;如梦上塘成人138;儿童68;元;人;25,,active
POI013,POI013,POI013,德寿宫深度,,旅游,杭州,,2.5,68.0,218.0,CNY,宋韵雅集;人文体验;人文;适中;通用;2-4小时;25,宋韵雅集,,具体以选择的手作项目为准,,,,,POI image placeholder,,,,,,[],杭州,,,具体以选择的手作项目为准;康养文旅 p11;区间价;多规格;德寿宫体验218;古法制香80-120;团扇68-98;元;人;25,,active
POI014,POI014,POI014,良渚博物院,,旅游,杭州,,2.0,0.0,0.0,CNY,文化遗产;室内;雨天备选;人文;适中;通用;1-2小时;25,良渚文化线,,未在价格PDF中出现,,,,,POI image placeholder,,,,,,[],杭州,,,未在价格PDF中出现;源点位表;免费;0元;元;人;25,,active
POI015,POI015,POI015,中国国家版本馆杭州分馆,,旅游,杭州,,2.0,0.0,0.0,CNY,文化建筑;摄影;人文;适中;通用;1-2小时;25,人文建筑;版本馆线,,未在价格PDF中出现,,,,,POI image placeholder,,,,,,[],杭州,,,未在价格PDF中出现;源点位表;免费;0元;元;人;25,,active
POI016,POI016,POI016,观胡庆余堂中药博物馆,,旅游,杭州,,1.5,10.0,10.0,CNY,中医文化;胡庆余堂线;人文;休闲;通用;1-2小时;25,东方本草,,需提前3天预约,,,,,POI image placeholder,,,,,,[],杭州,,,需提前3天预约;康养文旅 p2;已补充;门票10;人;元;25,,active
POI017,POI017,POI017,体质辨识与中医调理,,旅游,杭州,,0.5,100.0,100.0,CNY,中医养生;轻医疗体验;体验;休闲;通用;0-1小时;25,东方本草;筋骨调养,,胡庆余堂老中医体质辨识需提前1-2周预约,,,,,POI image placeholder,,,,,,[],杭州,,,胡庆余堂老中医体质辨识需提前1-2周预约;康养文旅 p2;已补充;挂号;绿通100;针灸;推拿;拔罐价格待确认;元;人;25,,active
POI018,POI018,POI018,一站式宋韵沉浸,,旅游,杭州,,1.0,188.0,1204.0,CNY,宋韵雅集;高体验感;体验;休闲;通用;0-1小时;25,宋韵雅集,,按宋韵雅集核心组件估算,,,,,POI image placeholder,,,,,,[],杭州,,,按宋韵雅集核心组件估算;康养文旅 p11-p12;区间价;多规格;汉服200 + 德寿宫218 + 点茶188;宫宴演出598可选;元;人;25,,active
POI019,POI019,POI019,宋代点茶体验,,旅游,杭州,,1.5,98.0,188.0,CNY,茶文化;宋韵;体验类;体验;休闲;通用;1-2小时;25,宋韵雅集;禅茶一味,,根据场地不同计价,,,,,POI image placeholder,,,,,,[],杭州,,,根据场地不同计价;康养文旅 p6;p11;区间价;多规格;径山民宿98;位;青藤茶馆188;人;元;25,,active
POI020,POI020,POI020,茶园采茶体验,,旅游,杭州,,1.5,288.0,288.0,CNY,茶文化;自然;体验类;体验;休闲;通用;1-2小时;25,龙井茶韵,,约3小时，含道具与茶园摄影,,,,,POI image placeholder,,,,,,[],杭州,,,约3小时;含道具与茶园摄影;康养文旅 p16;已补充;采茶;炒茶;品茶组合288;人;元;25,,active
POI021,POI021,POI021,手工炒茶教学,,旅游,杭州,,1.0,0.0,288.0,CNY,茶文化;体验类;体验;休闲;通用;0-1小时;25,龙井茶韵,,若单独销售需二次报价,,,,,POI image placeholder,,,,,,[],杭州,,,若单独销售需二次报价;康养文旅 p16-p17;免费;已含在采茶;炒茶;品茶组合288;人内;元;人;25,,active
POI022,POI022,POI022,茶叶品鉴研学,,旅游,杭州,,1.0,0.0,150.0,CNY,茶文化;研学;体验;休闲;通用;0-1小时;25,龙井茶韵,,根据是否单独茶馆品茗计价,,,,,POI image placeholder,,,,,,[],杭州,,,根据是否单独茶馆品茗计价;康养文旅 p17;区间价;多规格;组合内免费品饮;单独品茗150;人;元;25,,active
POI023,POI023,POI023,径山茶宴与宋代点茶体验,,旅游,杭州,,1.0,0.0,245.0,CNY,禅茶;茶文化;疗愈;体验;休闲;通用;0-1小时;25,禅茶一味,,径山茶礼需预约，预约上免费,,,,,POI image placeholder,,,,,,[],杭州,,,径山茶礼需预约;预约上免费;康养文旅 p6-p7;部分补充;径山茶礼官方免费;宋代点茶98;位;茶果待定;默认售价245;元;人（成本×1.3）;人;25,,active
POI024,POI024,POI024,八部金刚功练习,,旅游,杭州,,1.0,90.0,800.0,CNY,筋骨调养;晨练;轻运动;体验;休闲;通用;0-1小时;25,筋骨调养,,PDF使用“八段锦/太极老师800元”，本行按养生功法类通用老师费,,,,,POI image placeholder,,,,,,[],杭州,,,PDF使用“八段锦;太极老师800元”;本行按养生功法类通用老师费;康养文旅 p22;已补充;老师费800;90分钟;团;元;25,,active
POI025,POI025,POI025,制作茶果子,,旅游,杭州,,1.5,1.3,78.0,CNY,禅茶;手作;亲子可选;体验;休闲;通用;1-2小时;25,禅茶一味,,茶果子需补价,,,,,POI image placeholder,,,,,,[],杭州,,,茶果子需补价;康养文旅 p7;部分补充;茶果制作待定;抄经59;位;默认售价78;元;人（成本×1.3）;人;25,,active
POI026,POI026,POI026,良渚遗址公园作坊区｜手作体验,,旅游,杭州,,1.5,30.0,130.0,CNY,良渚;手作;文化体验;体验;休闲;通用;1-2小时;25,良渚文化线,,未在价格PDF中出现,,,,,POI image placeholder,,,,,,[],杭州,,,未在价格PDF中出现;源点位表;区间价;多规格;成本区间30-100;元;人;默认成本100;默认售价130;25,,active
POI027,POI027,POI027,阿里巴巴西溪园区参访,,旅游,杭州,,2.5,1500.0,1950.0,CNY,科技;企业参访;商务;适中;通用;2-4小时;25,名企科创之旅,,企业参访通常涉及预约与接待标准,,,,,POI image placeholder,,,,,,[],杭州,,,企业参访通常涉及预约与接待标准;源点位表;已补充;成本1500;元;人;售价1950;25,,active
POI028,POI028,POI028,吉利汽车总部体验馆,,旅游,杭州,,1.5,1500.0,1950.0,CNY,科技;企业参访;新能源;休闲;通用;1-2小时;25,名企科创之旅,,企业参访通常涉及预约与接待标准,,,,,POI image placeholder,,,,,,[],杭州,,,企业参访通常涉及预约与接待标准;源点位表;已补充;成本1500;元;人;售价1950;25,,active
POI029,POI029,POI029,宇树科技机器人展示,,旅游,杭州,,1.0,1500.0,1950.0,CNY,科技;机器人;企业参访;休闲;通用;0-1小时;25,名企科创之旅,,企业参访通常涉及预约与接待标准,,,,,POI image placeholder,,,,,,[],杭州,,,企业参访通常涉及预约与接待标准;源点位表;已补充;成本1500;元;人;售价1950;25,,active
POI030,POI030,POI030,海康威视展示中心参观,,旅游,杭州,,1.5,1500.0,1950.0,CNY,科技;AI视觉;企业参访;休闲;通用;1-2小时;25,名企科创之旅,,企业参访通常涉及预约与接待标准,,,,,POI image placeholder,,,,,,[],杭州,,,企业参访通常涉及预约与接待标准;源点位表;已补充;成本1500;元;人;售价1950;25,,active
POI031,POI031,POI031,文三数字生活街区漫游,,旅游,杭州,,1.5,0.0,390.0,CNY,数字生活;科技城市;科技;休闲;通用;1-2小时;25,数字生活街区线,,未在价格PDF中出现,,,,,POI image placeholder,,,,,,[],杭州,,,未在价格PDF中出现;源点位表;区间价;多规格;成本区间0-300;元;人;默认成本300;默认售价390;25,,active
POI032,POI032,POI032,M511光影汇沉浸体验,,旅游,杭州,,1.5,138.0,400.0,CNY,科技艺术;沉浸式;科技;休闲;通用;1-2小时;25,数字生活街区线,,未在价格PDF中出现,,,,,POI image placeholder,,,,,,[],杭州,,,未在价格PDF中出现;源点位表;区间价;多规格;成本区间138-400;元;人;默认成本198;默认售价258;25,,active
POI033,POI033,POI033,颐高数字科技展,,旅游,杭州,,1.5,168.0,219.0,CNY,科技;数字展陈;休闲;通用;1-2小时;25,数字生活街区线,,未在价格PDF中出现,,,,,POI image placeholder,,,,,,[],杭州,,,未在价格PDF中出现;源点位表;已补充;成本168;元;人;售价219;25,,active
POI034,POI034,POI034,钱江新城灯光秀夜游,,旅游,杭州,,0.5,0.0,0.0,CNY,夜游;城市风景;演出;休闲;通用;0-1小时;25,数字生活街区;夜游,,灯光秀本身可免费观赏；若含游船需补价,,,,,POI image placeholder,,,,,,[],杭州,,,灯光秀本身可免费观赏;若含游船需补价;源点位表;部分补充;基础成本0;元;人;增值项目另计;25,,active
POI035,POI035,POI035,宫宴晚餐+演出,,旅游,杭州,,2.0,298.0,598.0,CNY,宋韵;晚宴;演出;适中;通用;1-2小时;25,宋韵雅集,,宋韵雅集晚餐+演出可选,,,,,POI image placeholder,,,,,,[],杭州,,,宋韵雅集晚餐+演出可选;康养文旅 p12;区间价;多规格;成人598;儿童298;元;人;25,,active
POI036,POI036,POI036,如梦上塘演出,,旅游,杭州,,1.0,68.0,138.0,CNY,运河;夜游;演出;休闲;通用;0-1小时;25,西湖秘境;运河夜游,,运河夜游/光影秀,,,,,POI image placeholder,,,,,,[],杭州,,,运河夜游;光影秀;康养文旅 p9;区间价;多规格;成人138;儿童68;元;人;25,,active
POI037,POI037,POI037,印象西湖演出,,旅游,杭州,,1.0,310.0,900.0,CNY,西湖;经典演出;演出;休闲;通用;0-1小时;25,东方本草;龙井茶韵;筋骨调养,,数据库默认填VIP成人450，普通/尊宾按需求调整,,,,,POI image placeholder,,,,,,[],杭州,,,数据库默认填VIP成人450;普通;尊宾按需求调整;康养文旅 p3;p18;p23;区间价;多规格;普通成人350;儿童310;VIP成人450;儿童370;尊宾900;元;人;25,,active
POI038,POI038,POI038,德寿宫《德寿夜宴》,,旅游,杭州,,2.0,1.3,598.0,CNY,宋韵;夜宴;演出;适中;通用;1-2小时;25,宋韵雅集,,价格PDF未直接出现德寿夜宴，先挂靠宋韵宫宴,,,,,POI image placeholder,,,,,,[],杭州,,,价格PDF未直接出现德寿夜宴;先挂靠宋韵宫宴;康养文旅 p12;部分补充;参考宫宴晚餐+演出598;需确认德寿夜宴单独票价;默认售价258;元;人（成本×1.3）;人;25,,active
POI039,POI039,POI039,豫园、城隍庙、上海老街,,旅游,上海,,2.5,0.0,0.0,CNY,上海延伸;人文;杭州外;适中;通用;2-4小时;25,上海延伸,,杭州外点位需补上海本地门票/交通,,,,,POI image placeholder,,,,,,[],上海,,,杭州外点位需补上海本地门票;交通;源点位表;部分补充;基础成本0;元;人;增值项目另计;25,,active
POI040,POI040,POI040,浦东陆家嘴城市景观,,旅游,上海,,1.0,0.0,0.0,CNY,上海延伸;城市景观;杭州外;休闲;通用;0-1小时;25,上海延伸,,杭州外点位需补上海本地门票/交通,,,,,POI image placeholder,,,,,,[],上海,,,杭州外点位需补上海本地门票;交通;源点位表;部分补充;基础成本0;元;人;增值项目另计;25,,active
POI041,POI041,POI041,外滩夜景 / 黄浦江游船（二选一）,,旅游,上海,,1.0,0.0,0.0,CNY,上海延伸;夜游;杭州外;休闲;通用;0-1小时;25,上海延伸,,黄浦江游船需补价,,,,,POI image placeholder,,,,,,[],上海,,,黄浦江游船需补价;源点位表;部分补充;基础成本0;元;人;增值项目另计;25,,active
POI042,POI042,POI042,上海博物馆东馆,,旅游,上海,,2.5,0.0,0.0,CNY,上海延伸;人文室内;杭州外;适中;通用;2-4小时;25,上海延伸,,杭州外点位需补预约/讲解费用,,,,,POI image placeholder,,,,,,[],上海,,,杭州外点位需补预约;讲解费用;源点位表;部分补充;基础成本0;元;人;增值项目另计;25,,active
POI043,POI043,POI043,义乌国际商贸城一区/五区自由购物,,旅游,义乌,,2.5,0.0,0.0,CNY,义乌延伸;商贸采购;杭州外;适中;通用;2-4小时;25,义乌延伸,,需补杭州-义乌交通与导览费用,,,,,POI image placeholder,,,,,,[],义乌,,,需补杭州-义乌交通与导览费用;源点位表;部分补充;基础成本0;元;人;增值项目另计;25,,active
POI044,POI044,POI044,500/人 标准,,住宿,通用,,,500.0,500.0,CNY,可作为住宿预算筛选;住宿;待确认;通用;不限;25,按需组合,,通用住宿标准，可替换具体酒店,,,,,POI image placeholder,,,,,,[],通用,,,待补价格;HZH产品点位表;通用住宿标准;可替换具体酒店;已补充;500;人 标准;元;人;晚;25,,active
POI045,POI045,POI045,800/人 标准,,住宿,通用,,,800.0,800.0,CNY,可作为住宿预算筛选;住宿;待确认;通用;不限;25,按需组合,,通用住宿标准，可替换具体酒店,,,,,POI image placeholder,,,,,,[],通用,,,待补价格;HZH产品点位表;通用住宿标准;可替换具体酒店;已补充;800;人 标准;元;人;晚;25,,active
POI046,POI046,POI046,200/人 标准,,餐费,通用,,,200.0,200.0,CNY,可作为餐标预算筛选;餐费;待确认;通用;不限;25,按需组合,,通用餐标，可替换具体餐厅,,,,,POI image placeholder,,,,,,[],通用,,,待补价格;HZH产品点位表;通用餐标;可替换具体餐厅;已补充;200;人 标准;元;人;餐;25,,active
POI047,POI047,POI047,300/人 标准,,餐费,通用,,,300.0,300.0,CNY,可作为餐标预算筛选;餐费;待确认;通用;不限;25,按需组合,,通用餐标，可替换具体餐厅,,,,,POI image placeholder,,,,,,[],通用,,,待补价格;HZH产品点位表;通用餐标;可替换具体餐厅;已补充;300;人 标准;元;人;餐;25,,active
POI048,POI048,POI048,车导组合：1-3人私家车+双语导游,,服务标准,通用,,8.0,1800.0,1800.0,CNY,线路基础服务费;服务标准;服务;通用;1日;25;必选,东方本草;西湖;茶韵等,,常规线路1-3人车导组合；宋韵线为2000/团/日,,,,,POI image placeholder,,,,,,[],通用,,,团队服务基础价格;康养文旅 p1;p8;p11;p13;p16;p22;常规线路1-3人车导组合;宋韵线为2000;团;日;已补充;1800;元;25,,active
POI049,POI049,POI049,车导组合：4-5人商务车+双语导游,,服务标准,通用,,8.0,2600.0,2800.0,CNY,线路基础服务费;服务标准;服务;通用;1日;25;必选,东方本草;西湖;茶韵等,,常规线路4-5人2600；宋韵线2800,,,,,POI image placeholder,,,,,,[],通用,,,团队服务基础价格;康养文旅 p1;p8;p11;p13;p16;p22;常规线路4-5人2600;宋韵线2800;区间价;多规格;2600;团;日;元;25,,active
POI050,POI050,POI050,车导组合：6-12人中巴+双语导游,,服务标准,通用,,8.0,3600.0,3800.0,CNY,线路基础服务费;服务标准;服务;通用;1日;25;必选,东方本草;西湖;茶韵等,,常规线路6-12人3600；宋韵线3800,,,,,POI image placeholder,,,,,,[],通用,,,团队服务基础价格;康养文旅 p1;p8;p11;p13;p16;p22;常规线路6-12人3600;宋韵线3800;区间价;多规格;3600;团;日;元;25,,active
POI051,POI051,POI051,铜鉴湖半日车导：1-3人,,服务标准,杭州,,4.0,1100.0,1100.0,CNY,半日;2日线路基础服务;自然;休闲;引流款;25;必选,铜鉴湖花海疗愈,,铜鉴湖线路用车半天、导游按一天核算,,,,,POI image placeholder,,,,,,[],杭州,,,低强度花海线路;康养文旅 p20;铜鉴湖线路用车半天;导游按一天核算;已补充;1100;团;半日;元;25,,active
POI052,POI052,POI052,铜鉴湖半日车导：4-5人,,服务标准,杭州,,4.0,1300.0,1300.0,CNY,半日;2日线路基础服务;自然;休闲;引流款;25;必选,铜鉴湖花海疗愈,,铜鉴湖线路用车半天、导游按一天核算,,,,,POI image placeholder,,,,,,[],杭州,,,低强度花海线路;康养文旅 p20;铜鉴湖线路用车半天;导游按一天核算;已补充;1300;团;半日;元;25,,active
POI053,POI053,POI053,铜鉴湖半日车导：6-12人,,服务标准,杭州,,4.0,1700.0,1700.0,CNY,半日;2日线路基础服务;自然;休闲;引流款;25;必选,铜鉴湖花海疗愈,,铜鉴湖线路用车半天、导游按一天核算,,,,,POI image placeholder,,,,,,[],杭州,,,低强度花海线路;康养文旅 p20;铜鉴湖线路用车半天;导游按一天核算;已补充;1700;团;半日;元;25,,active
POI054,POI054,POI054,杭州西湖东智选假日酒店或同级,,住宿,杭州,,8.0,400.0,500.0,CNY,住宿预算;住宿;休闲;引流;利润;1日;25;可选,东方本草;筋骨调养,,东方本草预算400；筋骨调养400-500,,,,,POI image placeholder,,,,,,[],杭州,,,节假日除外;以实际房态为准;康养文旅 p1;p22-p23;东方本草预算400;筋骨调养400-500;区间价;多规格;400-500;间夜;元;25,,active
POI055,POI055,POI055,马可波罗滨湖酒店或同级,,住宿,杭州,,8.0,300.0,900.0,CNY,住宿预算;住宿;休闲;销量款;1日;25;可选,西湖秘境,,标准版马可波罗滨湖，PDF预算600-900/晚；报价表填500,,,,,POI image placeholder,,,,,,[],杭州,,,以实际房态为准;康养文旅 p8-p9;标准版马可波罗滨湖;PDF预算600-900;晚;报价表填500;区间价;多规格;300-550;间夜;预算600-900;元;25,,active
POI056,POI056,POI056,径山周边民宿/波罗密民宿,,住宿,杭州径山,,8.0,500.0,660.0,CNY,住宿预算;住宿;休闲;待定;1日;25;可选,禅茶一味,,径山周边民宿或同级,,,,,POI image placeholder,,,,,,[],杭州径山,,,以实际房态为准;康养文旅 p5;径山周边民宿或同级;区间价;多规格;500-660;晚;元;间夜;25,,active
POI057,POI057,POI057,杭州西湖玉泉美居酒店或同级,,住宿,杭州,,8.0,630.0,800.0,CNY,住宿预算;住宿;休闲;利润;待定;销量;1日;25;可选,宋韵;心灵疗愈;龙井,,PDF中宋韵填750，心灵/龙井填700,,,,,POI image placeholder,,,,,,[],杭州,,,以实际房态为准;康养文旅 p11-p18;PDF中宋韵填750;心灵;龙井填700;区间价;多规格;630-800;间夜;元;25,,active
POI058,POI058,POI058,灵栖铜鉴湖度假酒店,,住宿,杭州,,8.0,349.0,349.0,CNY,住宿预算;住宿;休闲;引流款;1日;25;可选,铜鉴湖花海疗愈,,豪华大床/豪华标间门市价,,,,,POI image placeholder,,,,,,[],杭州,,,以实际房态为准;康养文旅 p20;豪华大床;豪华标间门市价;已补充;349;间夜;元;25,,active
POI059,POI059,POI059,胡庆余堂药膳馆/王润兴餐厅,,餐费,杭州,,1.0,80.0,150.0,CNY,餐标预算;餐;休闲;引流款;0-1小时;25;必选,东方本草,,王润兴人均80-100；药膳标准版填150,,,,,POI image placeholder,,,,,,[],杭州,,,穆斯林用户提前告知;康养文旅 p2;王润兴人均80-100;药膳标准版填150;区间价;多规格;150;人;元;餐;25,,active
POI060,POI060,POI060,西溪宾馆午餐,,餐费,杭州,,1.0,198.0,298.0,CNY,餐标预算;餐;休闲;销量款;0-1小时;25;必选,西湖秘境,,标准版西溪宾馆,,,,,POI image placeholder,,,,,,[],杭州,,,可按预算切换档位;康养文旅 p8;标准版西溪宾馆;区间价;多规格;198;218;298;人;元;餐;25,,active
POI061,POI061,POI061,楼外楼/茶香主题餐,,餐费,杭州,,1.0,150.0,300.0,CNY,餐标预算;餐;休闲;销量;利润;0-1小时;25;可选,龙井;筋骨调养,,楼外楼/龙坞茶香农家菜,,,,,POI image placeholder,,,,,,[],杭州,,,可按预算切换;康养文旅 p18;p23;楼外楼;龙坞茶香农家菜;区间价;多规格;150-300;人;元;餐;25,,active
POI062,POI062,POI062,丝巾+茶叶通用伴手礼,,伴手礼,通用,,,100.0,100.0,CNY,伴手礼预算;伴手礼;休闲;通用;不限;25;可选,多线路,,多条路线默认伴手礼,,,,,POI image placeholder,,,,,,[],通用,,,可替换为路线主题礼盒;康养文旅 p4;p7;p9;p12;p18;p24;多条路线默认伴手礼;已补充;100;人;元;25,,active
